iter	Passed	Remaining
0	1	120
1	2	107
2	3	101
3	3	92
4	4	92
5	5	91
6	6	91
7	7	90
8	8	89
9	9	87
10	10	86
11	11	85
12	12	83
13	13	81
14	14	80
15	14	78
16	15	77
17	16	75
18	17	75
19	18	75
20	19	74
21	20	73
22	21	72
23	22	71
24	23	70
25	24	68
26	25	67
27	25	66
28	26	65
29	27	64
30	28	62
31	29	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	37	51
42	38	50
43	39	49
44	40	48
45	40	47
46	41	47
47	42	46
48	43	45
49	44	44
50	45	43
51	45	42
52	46	41
53	47	40
54	47	39
55	48	38
56	49	37
57	50	36
58	50	35
59	51	34
60	52	33
61	52	32
62	53	31
63	53	30
64	54	29
65	55	28
66	55	27
67	56	26
68	57	25
69	57	24
70	58	23
71	59	22
72	59	22
73	60	21
74	60	20
75	61	19
76	62	18
77	62	17
78	63	16
79	64	16
80	64	15
81	65	14
82	66	13
83	66	12
84	67	11
85	67	11
86	68	10
87	69	9
88	69	8
89	70	7
90	71	7
91	71	6
92	72	5
93	72	4
94	73	3
95	74	3
96	74	2
97	75	1
98	75	0
99	76	0
