iter	Passed	Remaining
0	148	148322
1	151	75373
2	151	50503
3	152	38078
4	153	30629
5	154	25640
6	155	22128
7	157	19527
8	160	17700
9	161	16026
10	162	14643
11	164	13508
12	165	12535
13	166	11715
14	167	11020
15	169	10404
16	169	9827
17	170	9324
18	172	8895
19	173	8490
20	175	8179
21	177	7900
22	179	7615
23	180	7352
24	181	7097
25	183	6886
26	184	6658
27	185	6439
28	186	6243
29	187	6065
30	189	5917
31	192	5816
32	194	5692
33	195	5564
34	197	5433
35	199	5330
36	200	5220
37	202	5116
38	204	5029
39	205	4928
40	206	4829
41	207	4733
42	208	4641
43	209	4560
44	211	4481
45	212	4411
46	214	4356
47	216	4292
48	217	4228
49	219	4168
50	221	4113
51	222	4064
52	224	4005
53	225	3956
54	227	3909
55	229	3861
56	230	3807
57	232	3777
58	234	3741
59	236	3709
60	238	3668
61	240	3632
62	241	3594
63	243	3558
64	244	3517
65	245	3473
66	246	3429
67	247	3386
68	249	3372
69	251	3336
70	252	3304
71	254	3285
72	256	3251
73	257	3220
74	258	3189
75	260	3161
76	261	3134
77	262	3104
78	265	3097
79	267	3075
80	269	3052
81	270	3028
82	271	2996
83	272	2969
84	274	2951
85	275	2925
86	276	2899
87	277	2872
88	278	2855
89	280	2838
90	282	2823
91	284	2803
92	285	2785
93	287	2766
94	289	2753
95	289	2729
96	290	2708
97	292	2693
98	294	2679
99	295	2661
100	297	2644
101	298	2629
102	300	2616
103	301	2599
104	302	2582
105	304	2564
106	305	2545
107	307	2540
108	309	2527
109	310	2510
110	311	2491
111	312	2475
112	313	2460
113	314	2442
114	315	2428
115	316	2414
116	317	2398
117	319	2385
118	320	2375
119	322	2363
120	324	2354
121	325	2340
122	326	2329
123	328	2317
124	329	2307
125	331	2297
126	332	2284
127	333	2275
128	335	2265
129	336	2251
130	337	2241
131	339	2231
132	340	2217
133	341	2207
134	343	2198
135	344	2188
136	346	2180
137	347	2172
138	349	2164
139	350	2153
140	351	2141
141	351	2126
142	353	2117
143	354	2108
144	355	2097
145	357	2088
146	358	2080
147	360	2074
148	361	2066
149	363	2057
150	364	2048
151	365	2037
152	366	2027
153	367	2018
154	368	2010
155	371	2007
156	372	2000
157	373	1992
158	375	1986
159	377	1979
160	377	1968
161	379	1961
162	379	1950
163	381	1943
164	382	1936
165	383	1928
166	385	1921
167	386	1911
168	387	1905
169	388	1898
170	390	1891
171	391	1885
172	393	1879
173	394	1872
174	395	1864
175	396	1857
176	398	1850
177	399	1846
178	400	1837
179	401	1831
180	403	1827
181	405	1822
182	407	1817
183	408	1811
184	409	1805
185	411	1800
186	412	1795
187	414	1790
188	416	1785
189	417	1778
190	418	1774
191	420	1770
192	422	1765
193	423	1759
194	424	1754
195	426	1749
196	428	1745
197	429	1739
198	430	1732
199	431	1725
200	432	1720
201	434	1716
202	435	1709
203	437	1705
204	438	1701
205	439	1695
206	441	1689
207	443	1687
208	444	1682
209	445	1676
210	446	1670
211	448	1666
212	450	1664
213	452	1660
214	454	1657
215	455	1652
216	456	1648
217	458	1644
218	460	1641
219	461	1637
220	463	1634
221	465	1630
222	466	1625
223	467	1621
224	469	1617
225	471	1614
226	472	1609
227	473	1603
228	475	1599
229	475	1593
230	476	1586
231	478	1583
232	479	1578
233	480	1572
234	481	1567
235	482	1561
236	483	1557
237	485	1553
238	486	1548
239	488	1546
240	489	1542
241	490	1537
242	491	1531
243	492	1526
244	493	1522
245	495	1517
246	496	1513
247	497	1509
248	499	1506
249	500	1502
250	502	1499
251	503	1494
252	504	1491
253	507	1489
254	508	1485
255	509	1480
256	510	1476
257	512	1473
258	514	1470
259	515	1467
260	517	1464
261	518	1460
262	520	1457
263	521	1452
264	522	1449
265	523	1444
266	524	1440
267	526	1437
268	527	1434
269	529	1430
270	530	1426
271	531	1421
272	532	1418
273	534	1416
274	535	1413
275	537	1409
276	538	1405
277	539	1402
278	541	1399
279	542	1395
280	544	1392
281	545	1389
282	547	1386
283	548	1383
284	550	1380
285	551	1377
286	553	1374
287	554	1370
288	556	1368
289	558	1366
290	559	1363
291	561	1361
292	562	1357
293	564	1355
294	565	1352
295	567	1349
296	568	1346
297	570	1343
298	572	1341
299	573	1338
300	575	1336
301	576	1333
302	578	1330
303	580	1328
304	581	1325
305	583	1322
306	584	1320
307	586	1317
308	587	1314
309	589	1311
310	590	1309
311	592	1306
312	593	1303
313	595	1300
314	596	1296
315	597	1293
316	598	1289
317	599	1286
318	601	1283
319	602	1279
320	603	1277
321	605	1275
322	606	1271
323	608	1268
324	608	1264
325	610	1262
326	612	1260
327	613	1256
328	614	1253
329	615	1250
330	617	1248
331	619	1245
332	620	1243
333	621	1239
334	622	1236
335	624	1234
336	625	1230
337	626	1227
338	628	1224
339	629	1222
340	631	1219
341	632	1217
342	633	1213
343	634	1210
344	636	1208
345	637	1205
346	639	1202
347	640	1200
348	642	1198
349	643	1195
350	645	1192
351	646	1190
352	647	1187
353	648	1184
354	649	1180
355	651	1178
356	652	1175
357	654	1172
358	655	1171
359	657	1169
360	659	1166
361	660	1164
362	662	1162
363	663	1159
364	665	1157
365	666	1155
366	668	1152
367	669	1149
368	670	1146
369	671	1143
370	672	1140
371	673	1137
372	675	1135
373	677	1133
374	678	1130
375	679	1128
376	681	1125
377	682	1123
378	684	1121
379	685	1118
380	687	1117
381	689	1114
382	690	1111
383	691	1109
384	692	1106
385	693	1102
386	694	1099
387	695	1097
388	696	1094
389	697	1091
390	698	1088
391	700	1085
392	700	1082
393	702	1080
394	703	1078
395	704	1075
396	706	1072
397	707	1070
398	709	1068
399	710	1065
400	711	1062
401	712	1060
402	714	1058
403	715	1055
404	716	1053
405	718	1050
406	719	1048
407	720	1046
408	722	1043
409	723	1041
410	725	1039
411	726	1037
412	728	1035
413	729	1032
414	730	1030
415	732	1028
416	734	1026
417	735	1023
418	736	1021
419	737	1019
420	739	1016
421	740	1014
422	742	1012
423	744	1011
424	746	1009
425	747	1007
426	749	1005
427	750	1003
428	753	1002
429	755	1000
430	756	998
431	757	996
432	759	994
433	760	991
434	761	989
435	763	987
436	764	985
437	765	982
438	767	980
439	768	977
440	769	974
441	770	972
442	771	970
443	772	967
444	774	965
445	775	963
446	777	961
447	778	958
448	779	956
449	781	954
450	782	951
451	783	949
452	784	947
453	785	945
454	787	942
455	788	940
456	789	938
457	791	936
458	792	934
459	793	931
460	795	929
461	796	927
462	797	925
463	798	922
464	799	920
465	800	917
466	802	915
467	803	913
468	805	911
469	806	909
470	807	907
471	809	905
472	810	903
473	811	900
474	812	898
475	814	896
476	815	894
477	817	892
478	818	890
479	819	888
480	821	886
481	822	884
482	824	882
483	825	879
484	826	877
485	827	875
486	829	873
487	831	872
488	832	870
489	834	868
490	835	866
491	836	864
492	838	862
493	839	859
494	840	857
495	841	855
496	843	853
497	844	851
498	846	849
499	847	847
500	849	845
501	850	843
502	852	842
503	853	840
504	854	837
505	856	835
506	857	833
507	858	830
508	859	829
509	860	826
510	861	824
511	863	823
512	865	821
513	867	819
514	868	818
515	870	816
516	871	814
517	873	812
518	874	810
519	876	808
520	877	807
521	879	805
522	880	803
523	882	801
524	883	798
525	884	796
526	885	795
527	887	793
528	888	791
529	890	789
530	891	787
531	893	785
532	894	783
533	896	782
534	897	780
535	898	778
536	899	775
537	901	773
538	902	771
539	903	769
540	904	767
541	906	765
542	907	764
543	909	762
544	911	760
545	913	759
546	914	757
547	916	755
548	917	753
549	918	751
550	920	749
551	921	747
552	922	745
553	923	743
554	924	741
555	925	739
556	926	737
557	928	735
558	929	733
559	931	731
560	932	729
561	934	728
562	935	726
563	937	724
564	938	722
565	940	720
566	941	718
567	942	716
568	943	714
569	944	712
570	945	710
571	946	708
572	947	706
573	948	704
574	950	702
575	951	700
576	952	698
577	954	696
578	955	694
579	956	692
580	957	690
581	959	689
582	960	687
583	962	685
584	964	683
585	965	682
586	967	680
587	968	678
588	969	676
589	971	674
590	972	673
591	974	671
592	976	670
593	977	668
594	979	666
595	981	664
596	982	663
597	984	661
598	985	659
599	987	658
600	988	656
601	989	654
602	991	652
603	992	650
604	993	648
605	994	646
606	996	645
607	997	643
608	999	641
609	1000	639
610	1001	637
611	1004	636
612	1005	634
613	1006	632
614	1008	631
615	1009	629
616	1011	627
617	1012	625
618	1013	623
619	1015	622
620	1016	620
621	1017	618
622	1018	616
623	1019	614
624	1020	612
625	1021	610
626	1023	608
627	1025	607
628	1026	605
629	1027	603
630	1029	602
631	1031	600
632	1032	598
633	1033	596
634	1034	594
635	1036	593
636	1037	591
637	1038	589
638	1039	587
639	1041	585
640	1042	583
641	1043	582
642	1045	580
643	1046	578
644	1047	576
645	1049	574
646	1050	573
647	1051	571
648	1052	569
649	1054	567
650	1055	565
651	1057	564
652	1059	562
653	1060	560
654	1061	559
655	1063	557
656	1064	555
657	1065	553
658	1066	552
659	1067	550
660	1069	548
661	1070	546
662	1071	544
663	1074	543
664	1075	541
665	1076	539
666	1077	538
667	1079	536
668	1080	534
669	1082	533
670	1084	531
671	1086	530
672	1087	528
673	1090	527
674	1091	525
675	1095	524
676	1097	523
677	1098	521
678	1099	519
679	1100	518
680	1101	516
681	1102	514
682	1103	512
683	1105	510
684	1106	508
685	1107	506
686	1108	505
687	1109	503
688	1110	501
689	1111	499
690	1112	497
691	1113	495
692	1115	493
693	1116	492
694	1117	490
695	1118	488
696	1119	486
697	1121	485
698	1122	483
699	1123	481
700	1124	479
701	1125	477
702	1126	475
703	1127	474
704	1128	472
705	1129	470
706	1130	468
707	1131	466
708	1132	464
709	1134	463
710	1134	461
711	1136	459
712	1137	457
713	1139	456
714	1140	454
715	1142	453
716	1143	451
717	1144	449
718	1145	447
719	1146	445
720	1147	444
721	1148	442
722	1149	440
723	1151	438
724	1152	437
725	1154	435
726	1154	433
727	1156	432
728	1157	430
729	1158	428
730	1159	426
731	1161	425
732	1162	423
733	1163	421
734	1164	419
735	1165	417
736	1166	416
737	1167	414
738	1168	412
739	1169	410
740	1170	408
741	1171	407
742	1172	405
743	1174	404
744	1175	402
745	1177	400
746	1178	399
747	1179	397
748	1181	395
749	1182	394
750	1184	392
751	1185	391
752	1187	389
753	1188	387
754	1190	386
755	1191	384
756	1192	382
757	1194	381
758	1195	379
759	1197	378
760	1198	376
761	1199	374
762	1200	373
763	1202	371
764	1203	369
765	1205	368
766	1206	366
767	1207	364
768	1209	363
769	1211	361
770	1213	360
771	1214	358
772	1216	357
773	1217	355
774	1219	353
775	1220	352
776	1222	350
777	1223	349
778	1225	347
779	1226	346
780	1228	344
781	1229	342
782	1231	341
783	1232	339
784	1234	338
785	1235	336
786	1237	334
787	1239	333
788	1240	331
789	1242	330
790	1243	328
791	1245	327
792	1247	325
793	1248	323
794	1250	322
795	1252	320
796	1253	319
797	1255	317
798	1256	316
799	1257	314
800	1258	312
801	1260	311
802	1261	309
803	1262	307
804	1263	306
805	1264	304
806	1266	302
807	1267	301
808	1268	299
809	1270	297
810	1271	296
811	1273	294
812	1275	293
813	1277	291
814	1278	290
815	1280	288
816	1282	287
817	1283	285
818	1285	284
819	1290	283
820	1292	281
821	1294	280
822	1295	278
823	1299	277
824	1301	275
825	1303	274
826	1305	273
827	1306	271
828	1307	269
829	1309	268
830	1311	266
831	1312	265
832	1314	263
833	1316	261
834	1317	260
835	1319	258
836	1321	257
837	1322	255
838	1324	254
839	1326	252
840	1328	251
841	1329	249
842	1331	247
843	1332	246
844	1334	244
845	1335	243
846	1337	241
847	1339	240
848	1340	238
849	1342	236
850	1344	235
851	1346	233
852	1348	232
853	1350	230
854	1351	229
855	1353	227
856	1355	226
857	1356	224
858	1358	223
859	1360	221
860	1362	220
861	1364	218
862	1366	216
863	1367	215
864	1369	213
865	1370	212
866	1371	210
867	1372	208
868	1373	206
869	1375	205
870	1377	204
871	1380	202
872	1381	201
873	1383	199
874	1384	197
875	1387	196
876	1388	194
877	1390	193
878	1392	191
879	1393	189
880	1394	188
881	1395	186
882	1397	185
883	1398	183
884	1399	181
885	1401	180
886	1403	178
887	1404	177
888	1406	175
889	1407	173
890	1409	172
891	1411	170
892	1412	169
893	1413	167
894	1415	166
895	1416	164
896	1418	162
897	1419	161
898	1420	159
899	1422	158
900	1423	156
901	1424	154
902	1426	153
903	1427	151
904	1429	150
905	1430	148
906	1432	146
907	1434	145
908	1435	143
909	1437	142
910	1438	140
911	1439	138
912	1441	137
913	1442	135
914	1443	134
915	1445	132
916	1446	130
917	1448	129
918	1450	127
919	1451	126
920	1452	124
921	1454	123
922	1456	121
923	1458	119
924	1459	118
925	1461	116
926	1464	115
927	1466	113
928	1467	112
929	1469	110
930	1471	109
931	1473	107
932	1474	105
933	1476	104
934	1478	102
935	1480	101
936	1481	99
937	1482	97
938	1484	96
939	1486	94
940	1488	93
941	1489	91
942	1491	90
943	1493	88
944	1494	87
945	1496	85
946	1498	83
947	1500	82
948	1502	80
949	1503	79
950	1505	77
951	1507	75
952	1508	74
953	1510	72
954	1511	71
955	1513	69
956	1514	68
957	1515	66
958	1517	64
959	1519	63
960	1520	61
961	1522	60
962	1523	58
963	1524	56
964	1525	55
965	1526	53
966	1528	52
967	1530	50
968	1531	49
969	1532	47
970	1534	45
971	1535	44
972	1537	42
973	1538	41
974	1540	39
975	1541	37
976	1543	36
977	1545	34
978	1547	33
979	1548	31
980	1550	30
981	1552	28
982	1553	26
983	1554	25
984	1555	23
985	1557	22
986	1558	20
987	1559	18
988	1561	17
989	1562	15
990	1564	14
991	1565	12
992	1566	11
993	1568	9
994	1570	7
995	1571	6
996	1573	4
997	1574	3
998	1576	1
999	1577	0
